,edge,gene1,gene2,q_value,scg
695,16-32,16,32,0.0,False
696,16-33,16,33,0.0,False
697,16-34,16,34,0.0,False
698,16-35,16,35,0.0,False
699,16-36,16,36,0.0,False
700,16-37,16,37,0.0,False
701,16-38,16,38,0.0,False
702,16-39,16,39,0.994,True
703,16-40,16,40,0.248,False
704,16-41,16,41,0.0,False
705,16-42,16,42,0.0,False
706,16-43,16,43,0.0,False
707,16-44,16,44,0.15200000000000002,False
708,16-45,16,45,0.0,False
709,16-46,16,46,0.0,False
710,16-47,16,47,0.0,False
711,16-48,16,48,0.0,False
712,16-49,16,49,0.84,True
713,16-50,16,50,0.0,False
714,17-18,17,18,1.0,True
715,17-19,17,19,0.0,False
716,17-20,17,20,1.0,True
717,17-21,17,21,0.01200000000000001,False
718,17-22,17,22,1.0,True
719,17-23,17,23,0.962,True
720,17-24,17,24,0.39,True
721,17-25,17,25,1.0,True
722,17-26,17,26,0.886,True
723,17-27,17,27,0.876,True
724,17-28,17,28,0.0,False
725,17-29,17,29,0.0,False
726,17-30,17,30,1.0,True
727,17-31,17,31,0.0,False
728,17-32,17,32,0.0,False
729,17-33,17,33,1.0,True
730,17-34,17,34,1.0,True
731,17-35,17,35,1.0,True
732,17-36,17,36,0.0,False
733,17-37,17,37,0.0,False
734,17-38,17,38,0.008000000000000007,False
735,17-39,17,39,1.0,True
736,17-40,17,40,1.0,True
737,17-41,17,41,1.0,True
738,17-42,17,42,0.0,False
739,17-43,17,43,0.0,False
740,17-44,17,44,0.978,True
741,17-45,17,45,0.0,False
742,17-46,17,46,0.0,False
743,17-47,17,47,0.006000000000000005,False
744,17-48,17,48,0.0,False
745,17-49,17,49,1.0,True
746,17-50,17,50,0.17400000000000004,False
747,18-19,18,19,0.0020000000000000018,False
748,18-20,18,20,1.0,True
749,18-21,18,21,0.15400000000000003,False
750,18-22,18,22,1.0,True
751,18-23,18,23,1.0,True
752,18-24,18,24,0.81,True
753,18-25,18,25,1.0,True
754,18-26,18,26,0.996,True
755,18-27,18,27,0.992,True
756,18-28,18,28,0.0020000000000000018,False
757,18-29,18,29,0.0,False
758,18-30,18,30,1.0,True
759,18-31,18,31,0.0,False
760,18-32,18,32,0.0020000000000000018,False
761,18-33,18,33,1.0,True
762,18-34,18,34,1.0,True
763,18-35,18,35,1.0,True
764,18-36,18,36,0.0020000000000000018,False
765,18-37,18,37,0.0020000000000000018,False
766,18-38,18,38,0.12,False
767,18-39,18,39,1.0,True
768,18-40,18,40,1.0,True
769,18-41,18,41,1.0,True
770,18-42,18,42,0.0,False
771,18-43,18,43,0.02400000000000002,False
772,18-44,18,44,1.0,True
773,18-45,18,45,0.0,False
774,18-46,18,46,0.008000000000000007,False
775,18-47,18,47,0.09799999999999998,False
776,18-48,18,48,0.0,False
777,18-49,18,49,1.0,True
778,18-50,18,50,0.628,True
779,19-20,19,20,0.0,False
780,19-21,19,21,0.0,False
781,19-22,19,22,0.0,False
782,19-23,19,23,0.0,False
783,19-24,19,24,0.0,False
784,19-25,19,25,0.0,False
785,19-26,19,26,0.0,False
